latitude longitude month day year
30.20641 -92.0646 3 26 2020
42.3269748 -88.451417 3 26 2020
41.5436928 -99.817692 3 26 2020
31.19931 -92.5333 3 26 2020
42.9444552 -82.683173 3 26 2020
42.2532399 -83.839439 3 26 2020
-5.779257 -35.200916 3 26 2020
46.4207117 -94.195512 3 26 2020
51.21928 0.736684 3 26 2020
30.1128 -90.5079 3 26 2020
41.6767222 -71.554409 3 26 2020
41.8883857 -84.595432 3 26 2020
-3.119028 -60.021732 3 26 2020
-0.1806532 -78.4678382 3 26 2020
0.565147 -77.772537 3 26 2020
30.20416 -90.9112 3 26 2020
32.58258 -93.8838 3 26 2020
33.7320086 -113.98021 3 26 2020
37.5340072 -85.283396 3 26 2020
41.6211601 -83.65602 3 26 2020
38.8402319 -77.280251 3 26 2020
43.970729 -120.55077 3 26 2020
38.0243825 -78.556203 3 26 2020
41.1258289 -81.531949 3 26 2020
-8.751944 -67.397778 3 26 2020
50.76352 -3.80735 3 26 2020
43.6987299 -71.576689 3 26 2020
43.0316322 -85.550474 3 26 2020
41.4246427 -81.658782 3 26 2020
47.0738891 -109.65158 3 26 2020
43.4810032 -70.715363 3 26 2020
29.42585 -90.873 3 26 2020
-10.1835604 -48.3337793 3 26 2020
-2.1394035 -79.5939034 3 26 2020
38.8298917 -89.905222 3 26 2020
0.0726839 -76.7336521 3 26 2020
33.3805899 -86.167397 3 26 2020
30.53977 -91.0969 3 26 2020
41.1389032 -87.863214 3 26 2020
18.22219 -66.4682 3 26 2020
43.8484308 -70.408373 3 26 2020
32.60241 -92.6641 3 26 2020
-17.853333 -63.308611 3 26 2020
38.8825709 -105.16179 3 26 2020
-3.6033323 -56.981622 3 26 2020
-28.583333 -49.433333 3 26 2020
-1.8341992 -79.8156667 3 26 2020
-18.333333 -59.75 3 26 2020
14.556667 -90.733889 3 26 2020
41.9291517 -83.540953 3 26 2020
42.9457059 -85.075564 3 26 2020
3.01219935 -60.74727 3 26 2020
42.2453156 -85.53098 3 26 2020
-2.0873135 -79.8728188 3 26 2020
-29.9216045 -51.1799525 3 26 2020
40.0917545 -82.483159 3 26 2020
40.3859583 -80.760449 3 26 2020
-2.5634605 -44.244872 3 26 2020
37.2368725 -76.562632 3 26 2020
-1.7139925 -79.985009 3 26 2020
40.8141993 -81.365605 3 26 2020
41.0146694 -80.775647 3 26 2020
47.468873 -100.47143 3 26 2020
39.438652 -84.575502 3 26 2020
-1.0225124 -79.4604035 3 26 2020
41.4465674 -87.978464 3 26 2020
38.6521996 -80.607237 3 26 2020
-43.57 -72.066111 3 26 2020
41.3621261 -83.623457 3 26 2020
32.71495 -93.3361 3 26 2020
41.2863074 -88.419021 3 26 2020
-28.8303 -49.8472 3 26 2020
30.02675 -90.795 3 26 2020
-15.793889 -47.882778 3 26 2020
-21.133576 -44.258809 3 26 2020
39.0934961 -77.635892 3 26 2020
39.3337773 -82.044608 3 26 2020
-25.4295963 -49.2712724 3 26 2020
29.87286 -89.6004 3 26 2020
41.468126 -90.567311 3 26 2020
41.2964923 -82.15075 3 26 2020
39.9696221 -83.010582 3 26 2020
-20.288889 -40.308333 3 26 2020
-23.75 -65.5 3 26 2020
-27.02736 -27.02736 3 26 2020
30.25866 -91.349 3 26 2020
31.67697 -92.1604 3 26 2020
31.07643 -92.0012 3 26 2020
39.1950259 -84.543207 3 26 2020
42.5971128 -84.375145 3 26 2020
-2.7409471 -78.8488227 3 26 2020
41.1177142 -81.899402 3 26 2020
44.5039162 -70.757174 3 26 2020
40.5079369 -89.512828 3 26 2020
41.317146 -80.760843 3 26 2020
-12.135833 -38.418889 3 26 2020
43.6407024 -84.847069 3 26 2020
30.84602 -91.0454 3 26 2020
37.3346078 -77.979386 3 26 2020
32.83302 -92.3745 3 26 2020
30.43836 -90.7238 3 26 2020
42.24836 -84.425294 3 26 2020
38.7049717 -77.483424 3 26 2020
52.3458 -3.76311 3 26 2020
-28.426425 -52.19805 3 26 2020
32.05627 -93.7378 3 26 2020
39.6418664 -83.024543 3 26 2020
-16.680882 -49.264811 3 26 2020
-2.2268901 -80.8593845 3 26 2020
-2.168974 -79.8397207 3 26 2020
36.8219983 -79.397561 3 26 2020
39.7585122 -89.658746 3 26 2020
41.916373 -85.993799 3 26 2020
43.0330951 -107.55098 3 26 2020
31.7317852 -86.313478 3 26 2020
-29.431852 -53.460064 3 26 2020
32.47975 -92.1546 3 26 2020
40.1402549 -88.199594 3 26 2020
-12.25 -38.95 3 26 2020
39.3054643 -102.6012 3 26 2020
41.5910998 -88.42976 3 26 2020
30.59991 -92.0058 3 26 2020
40.7881946 -89.759324 3 26 2020
37.3258358 -76.78277 3 26 2020
41.8964055 -88.770542 3 26 2020
37.7642856 -75.644625 3 26 2020
19.166667 -103.883333 3 26 2020
38.421236 -77.460553 3 26 2020
30.6106941 -85.665194 3 26 2020
30.13085 -91.6094 3 26 2020
31.524578 -110.84427 3 26 2020
43.0909955 -83.221301 3 26 2020
30.70977 -91.6009 3 26 2020
-3.2758197 -79.3143775 3 26 2020
29.91338 -90.3576 3 26 2020
44.334508 -84.127811 3 26 2020
-3.101944 -67.94 3 26 2020
30.2307 -93.3583 3 26 2020
31.9900756 -87.308329 3 26 2020
37.3799404 -77.58695 3 26 2020
-14.8605 -39.29557812 3 26 2020
-15.5986686 -56.0991301 3 26 2020
41.4997636 -81.178516 3 26 2020
-28.22431 -52.384841 3 26 2020
-23.425269 -51.9382078 3 26 2020
39.8936032 -83.40084 3 26 2020
-12 -41 3 26 2020
40.2784828 -83.004679 3 26 2020
-2.9001285 -79.0058965 3 26 2020
-2.886385 -78.7759559 3 26 2020
40.4973968 -82.620745 3 26 2020
44.3375735 -85.095437 3 26 2020
